period,sp_price,dividend,earnings,cpi,long_rate
1871-01-01,4.44,0.26,0.4,12.46,5.32
1871-02-01,4.5,0.26,0.4,12.84,5.32
1871-03-01,4.61,0.26,0.4,13.03,5.33
1871-04-01,4.74,0.26,0.4,12.56,5.33
1871-05-01,4.86,0.26,0.4,12.27,5.33
1871-06-01,4.82,0.26,0.4,12.08,5.34
1871-07-01,4.73,0.26,0.4,12.08,5.34
1871-08-01,4.79,0.26,0.4,11.89,5.34
1871-09-01,4.84,0.26,0.4,12.18,5.35
1871-10-01,4.59,0.26,0.4,12.37,5.35
1871-11-01,4.64,0.26,0.4,12.37,5.35
1871-12-01,4.74,0.26,0.4,12.65,5.36
1872-01-01,4.86,0.2633,0.4025,12.65,5.36
1872-02-01,4.88,0.2667,0.405,12.65,5.38
1872-03-01,5.04,0.27,0.4075,12.84,5.4
1872-04-01,5.18,0.2733,0.41,13.13,5.42
1872-05-01,5.18,0.2767,0.4125,13.13,5.43
1872-06-01,5.13,0.28,0.415,13.03,5.45
1872-07-01,5.1,0.2833,0.4175,12.84,5.47
1872-08-01,5.04,0.2867,0.42,12.94,5.49
1872-09-01,4.95,0.29,0.4225,13.03,5.51
1872-10-01,4.97,0.2933,0.425,12.75,5.52
1872-11-01,4.95,0.2967,0.4275,13.13,5.54
1872-12-01,5.07,0.3,0.43,12.94,5.56
1873-01-01,5.11,0.3025,0.4325,12.94,5.58
1873-02-01,5.15,0.305,0.435,13.23,5.57
1873-03-01,5.11,0.3075,0.4375,13.23,5.56
1873-04-01,5.04,0.31,0.44,13.23,5.55
1873-05-01,5.05,0.3125,0.4425,12.94,5.54
1873-06-01,4.98,0.315,0.445,12.56,5.53
1873-07-01,4.97,0.3175,0.4475,12.56,5.53
1873-08-01,4.97,0.32,0.45,12.56,5.52
1873-09-01,4.59,0.3225,0.4525,12.56,5.51
1873-10-01,4.19,0.325,0.455,12.27,5.5
1873-11-01,4.04,0.3275,0.4575,11.89,5.49
1873-12-01,4.42,0.33,0.46,12.18,5.48
1874-01-01,4.66,0.33,0.46,12.37,5.47
1874-02-01,4.8,0.33,0.46,12.37,5.44
1874-03-01,4.73,0.33,0.46,12.37,5.4
1874-04-01,4.6,0.33,0.46,12.18,5.37
1874-05-01,4.48,0.33,0.46,12.08,5.34
1874-06-01,4.46,0.33,0.46,11.8,5.3
1874-07-01,4.46,0.33,0.46,11.89,5.27
1874-08-01,4.47,0.33,0.46,11.8,5.24
1874-09-01,4.54,0.33,0.46,11.8,5.2
1874-10-01,4.53,0.33,0.46,11.61,5.17
1874-11-01,4.57,0.33,0.46,11.51,5.14
1874-12-01,4.54,0.33,0.46,11.51,5.1
1875-01-01,4.54,0.3275,0.4517,11.51,5.07
