date,open,high,low,close,adjusted_close,volume,active_through
2020-01-02,100.00,101.00,99.00,100.00,100.00,500000,
2020-01-03,100.00,101.00,99.00,100.00,100.00,500000,
2020-01-06,100.00,101.00,99.00,100.00,100.00,500000,
2020-01-07,100.00,101.00,99.00,100.00,100.00,500000,
2020-01-08,100.00,101.00,99.00,100.00,100.00,500000,
2020-01-09,100.00,101.00,99.00,100.00,100.00,500000,
2020-01-10,100.00,101.00,99.00,100.00,100.00,500000,
2020-01-13,100.00,101.00,99.00,100.00,100.00,500000,
2020-01-14,100.00,101.00,99.00,100.00,100.00,500000,
2020-01-15,100.00,101.00,99.00,100.00,100.00,500000,
2020-01-16,100.00,101.00,99.00,100.00,100.00,500000,
2020-01-17,100.00,101.00,99.00,100.00,100.00,500000,
2020-01-20,100.00,101.00,99.00,100.00,100.00,500000,
2020-01-21,100.00,101.00,99.00,100.00,100.00,500000,
2020-01-22,100.00,101.00,99.00,100.00,100.00,500000,
2020-01-23,100.00,101.00,99.00,100.00,100.00,500000,
2020-01-24,100.00,101.00,99.00,100.00,100.00,500000,
2020-01-27,100.00,101.00,99.00,100.00,100.00,500000,
2020-01-28,100.00,101.00,99.00,100.00,100.00,500000,
2020-01-29,100.00,101.00,99.00,100.00,100.00,500000,
2020-01-30,100.00,101.00,99.00,100.00,100.00,500000,
2020-01-31,100.00,101.00,99.00,100.00,100.00,500000,
2020-02-03,100.00,101.00,99.00,100.00,100.00,500000,
2020-02-04,100.00,101.00,99.00,100.00,100.00,500000,
2020-02-05,100.00,101.00,95.00,99.00,99.00,500000,
2020-02-06,97.00,98.00,96.00,97.00,97.00,500000,
2020-02-07,110.00,111.00,109.00,110.00,110.00,500000,
2020-02-10,110.00,111.00,109.00,110.00,110.00,500000,
2020-02-11,110.00,111.00,109.00,110.00,110.00,500000,
2020-02-12,120.00,121.00,119.00,120.00,120.00,500000,
2020-02-13,120.00,121.00,119.00,120.00,120.00,500000,
2020-02-14,120.00,121.00,119.00,120.00,120.00,500000,
2020-02-17,120.00,121.00,119.00,120.00,120.00,500000,
2020-02-18,120.00,121.00,119.00,120.00,120.00,500000,
2020-02-19,120.00,121.00,119.00,120.00,120.00,500000,
2020-02-20,120.00,121.00,119.00,120.00,120.00,500000,
2020-02-21,120.00,121.00,119.00,120.00,120.00,500000,
2020-02-24,120.00,121.00,119.00,120.00,120.00,500000,
