date,open,high,low,close,adjusted_close,volume,active_through
2020-01-02,50.00,50.50,49.50,50.00,25.00,800000,
2020-01-03,50.00,50.50,49.50,50.00,25.00,800000,
2020-01-06,50.00,50.50,49.50,50.00,25.00,800000,
2020-01-07,50.00,50.50,49.50,50.00,25.00,800000,
2020-01-08,50.00,50.50,49.50,50.00,25.00,800000,
2020-01-09,50.00,50.50,49.50,50.00,25.00,800000,
2020-01-10,50.00,50.50,49.50,50.00,25.00,800000,
2020-01-13,50.00,50.50,49.50,50.00,25.00,800000,
2020-01-14,50.00,50.50,49.50,50.00,25.00,800000,
2020-01-15,50.00,50.50,49.50,50.00,25.00,800000,
2020-01-16,50.00,50.50,49.50,50.00,25.00,800000,
2020-01-17,50.00,50.50,49.50,50.00,25.00,800000,
2020-01-20,50.00,50.50,49.50,50.00,25.00,800000,
2020-01-21,50.00,50.50,49.50,50.00,25.00,800000,
2020-01-22,50.00,50.50,49.50,50.00,25.00,800000,
2020-01-23,50.00,50.50,49.50,50.00,25.00,800000,
2020-01-24,50.00,50.50,49.50,50.00,25.00,800000,
2020-01-27,50.00,50.50,49.50,50.00,25.00,800000,
2020-01-28,50.00,50.50,49.50,50.00,25.00,800000,
2020-01-29,50.00,50.50,49.50,50.00,25.00,800000,
2020-01-30,50.00,50.50,49.50,50.00,25.00,800000,
2020-01-31,50.00,50.50,49.50,50.00,25.00,800000,
2020-02-03,50.00,50.50,49.50,50.00,25.00,800000,
2020-02-04,50.00,50.50,49.50,50.00,25.00,800000,
2020-02-05,50.00,50.50,49.50,50.00,25.00,800000,
2020-02-06,50.00,50.50,49.50,50.00,25.00,800000,
2020-02-07,50.00,50.50,49.50,50.00,25.00,800000,
2020-02-10,50.00,50.50,49.50,50.00,25.00,800000,
2020-02-11,50.00,50.50,49.50,50.00,25.00,800000,
2020-02-12,50.00,50.50,49.50,50.00,25.00,800000,
2020-02-13,50.00,50.50,49.50,50.00,25.00,800000,
2020-02-14,50.00,50.50,49.50,50.00,25.00,800000,
2020-02-17,50.00,50.50,49.50,50.00,25.00,800000,
2020-02-18,50.00,50.50,49.50,50.00,25.00,800000,
2020-02-19,50.00,50.50,49.50,50.00,25.00,800000,
2020-02-20,50.00,50.50,49.50,50.00,25.00,800000,
2020-02-21,50.00,50.50,49.50,50.00,25.00,800000,
2020-02-24,50.00,50.50,49.50,50.00,25.00,800000,
2020-02-25,50.00,50.50,49.50,50.00,25.00,800000,
2020-02-26,50.00,50.50,49.50,50.00,25.00,800000,
2020-02-27,50.00,50.50,49.50,50.00,25.00,800000,
2020-02-28,50.00,50.50,49.50,50.00,25.00,800000,
2020-03-02,50.00,50.50,49.50,50.00,25.00,800000,
2020-03-03,50.00,50.50,49.50,50.00,25.00,800000,
2020-03-04,50.00,50.50,49.50,50.00,25.00,800000,
2020-03-05,50.00,50.50,49.50,50.00,25.00,800000,
2020-03-06,50.00,50.50,49.50,50.00,25.00,800000,
2020-03-09,50.00,50.50,49.50,50.00,25.00,800000,
2020-03-10,50.00,50.50,49.50,50.00,25.00,800000,
2020-03-11,26.00,26.50,25.50,26.00,26.00,800000,
2020-03-12,26.00,26.50,25.50,26.00,26.00,800000,
2020-03-13,26.00,26.50,25.50,26.00,26.00,800000,
2020-03-16,26.00,26.50,25.50,26.00,26.00,800000,
2020-03-17,26.00,26.50,25.50,26.00,26.00,800000,
2020-03-18,26.00,26.50,25.50,26.00,26.00,800000,
2020-03-19,26.00,26.50,25.50,26.00,26.00,800000,
2020-03-20,26.00,26.50,25.50,26.00,26.00,800000,
2020-03-23,26.00,26.50,25.50,26.00,26.00,800000,
2020-03-24,26.00,26.50,25.50,26.00,26.00,800000,
2020-03-25,26.00,26.50,25.50,26.00,26.00,800000,
2020-03-26,26.00,26.50,25.50,26.00,26.00,800000,
2020-03-27,26.00,26.50,25.50,26.00,26.00,800000,
2020-03-30,26.00,26.50,25.50,26.00,26.00,800000,
2020-03-31,26.00,26.50,25.50,26.00,26.00,800000,
2020-04-01,26.00,26.50,25.50,26.00,26.00,800000,
2020-04-02,26.00,26.50,25.50,26.00,26.00,800000,
