date,open,high,low,close,adjusted_close,volume,active_through
2020-01-02,50.00,50.50,49.50,50.00,50.00,400000,
2020-01-03,50.00,50.50,49.50,50.00,50.00,400000,
2020-01-06,50.00,50.50,49.50,50.00,50.00,400000,
2020-01-07,50.00,50.50,49.50,50.00,50.00,400000,
2020-01-08,50.00,50.50,49.50,50.00,50.00,400000,
2020-01-09,50.00,50.50,49.50,50.00,50.00,400000,
2020-01-10,50.00,50.50,49.50,50.00,50.00,400000,
2020-01-13,50.00,50.50,49.50,50.00,50.00,400000,
2020-01-14,50.00,50.50,49.50,50.00,50.00,400000,
2020-01-15,50.00,50.50,49.50,50.00,50.00,400000,
2020-01-16,50.00,50.50,49.50,50.00,50.00,400000,
2020-01-17,50.00,50.50,49.50,50.00,50.00,400000,
2020-01-20,50.00,50.50,49.50,50.00,50.00,400000,
2020-01-21,50.00,50.50,49.50,50.00,50.00,400000,
2020-01-22,50.00,50.50,49.50,50.00,50.00,400000,
2020-01-23,50.00,50.50,49.50,50.00,50.00,400000,
2020-01-24,50.00,50.50,49.50,50.00,50.00,400000,
2020-01-27,50.00,50.50,49.50,50.00,50.00,400000,
2020-01-28,50.00,50.50,49.50,50.00,50.00,400000,
2020-01-29,50.00,50.50,49.50,50.00,50.00,400000,
2020-01-30,80.00,80.50,79.50,80.00,80.00,400000,
2020-01-31,80.00,80.50,79.50,80.00,80.00,400000,
2020-02-03,80.00,80.50,79.50,80.00,80.00,400000,
2020-02-04,80.00,80.50,79.50,80.00,80.00,400000,
2020-02-05,80.00,80.50,79.50,80.00,80.00,400000,
2020-02-06,80.00,80.50,79.50,80.00,80.00,400000,
2020-02-07,80.00,80.50,79.50,80.00,80.00,400000,
2020-02-10,80.00,80.50,79.50,80.00,80.00,400000,
2020-02-11,80.00,80.50,79.50,80.00,80.00,400000,
2020-02-12,80.00,80.50,79.50,80.00,80.00,400000,
2020-02-13,80.00,80.50,79.50,80.00,80.00,400000,
2020-02-14,80.00,80.50,79.50,80.00,80.00,400000,
2020-02-17,80.00,80.50,79.50,80.00,80.00,400000,
2020-02-18,80.00,80.50,79.50,80.00,80.00,400000,
2020-02-19,80.00,80.50,79.50,80.00,80.00,400000,
2020-02-20,80.00,80.50,79.50,80.00,80.00,400000,
2020-02-21,80.00,80.50,79.50,80.00,80.00,400000,
