date,open,high,low,close,adjusted_close,volume,active_through
2020-01-02,40.00,40.50,39.50,40.00,40.00,300000,
2020-01-03,40.00,40.50,39.50,40.00,40.00,300000,
2020-01-06,40.00,40.50,39.50,40.00,40.00,300000,
2020-01-07,40.00,40.50,39.50,40.00,40.00,300000,
2020-01-08,40.00,40.50,39.50,40.00,40.00,300000,
2020-01-09,40.00,40.50,39.50,40.00,40.00,300000,
2020-01-10,40.00,40.50,39.50,40.00,40.00,300000,
2020-01-13,40.00,40.50,39.50,40.00,40.00,300000,
2020-01-14,40.00,40.50,39.50,40.00,40.00,300000,
2020-01-15,40.00,40.50,39.50,40.00,40.00,300000,
2020-01-16,40.00,40.50,39.50,40.00,40.00,300000,
2020-01-17,40.00,40.50,39.50,40.00,40.00,300000,
2020-01-20,40.00,40.50,39.50,40.00,40.00,300000,
2020-01-21,40.00,40.50,39.50,40.00,40.00,300000,
2020-01-22,38.00,39.00,37.00,38.00,38.00,300000,
2020-01-23,39.00,39.50,38.50,39.00,39.00,300000,
2020-01-24,39.00,39.50,38.50,39.00,39.00,300000,
2020-01-27,39.00,39.50,38.50,39.00,39.00,300000,
2020-01-28,39.00,39.50,38.50,39.00,39.00,300000,
2020-01-29,60.00,60.50,59.50,60.00,60.00,300000,
2020-01-30,60.00,60.50,59.50,60.00,60.00,300000,
2020-01-31,60.00,60.50,59.50,60.00,60.00,300000,
2020-02-03,60.00,60.50,59.50,60.00,60.00,300000,
2020-02-04,60.00,60.50,59.50,60.00,60.00,300000,
2020-02-05,60.00,60.50,59.50,60.00,60.00,300000,
2020-02-06,60.00,60.50,59.50,60.00,60.00,300000,
2020-02-07,60.00,60.50,59.50,60.00,60.00,300000,
2020-02-10,60.00,60.50,59.50,60.00,60.00,300000,
2020-02-11,60.00,60.50,59.50,60.00,60.00,300000,
2020-02-12,60.00,60.50,59.50,60.00,60.00,300000,
2020-02-13,60.00,60.50,59.50,60.00,60.00,300000,
2020-02-14,60.00,60.50,59.50,60.00,60.00,300000,
2020-02-17,60.00,60.50,59.50,60.00,60.00,300000,
2020-02-18,60.00,60.50,59.50,60.00,60.00,300000,
2020-02-19,60.00,60.50,59.50,60.00,60.00,300000,
2020-02-20,60.00,60.50,59.50,60.00,60.00,300000,
2020-02-21,60.00,60.50,59.50,60.00,60.00,300000,
2020-02-24,60.00,60.50,59.50,60.00,60.00,300000,
2020-02-25,60.00,60.50,59.50,60.00,60.00,300000,
2020-02-26,60.00,60.50,59.50,60.00,60.00,300000,
2020-02-27,60.00,60.50,59.50,60.00,60.00,300000,
2020-02-28,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-02,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-03,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-04,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-05,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-06,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-09,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-10,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-11,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-12,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-13,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-16,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-17,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-18,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-19,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-20,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-23,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-24,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-25,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-26,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-27,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-30,60.00,60.50,59.50,60.00,60.00,300000,
2020-03-31,60.00,60.50,59.50,60.00,60.00,300000,
2020-04-01,60.00,60.50,59.50,60.00,60.00,300000,
2020-04-02,60.00,60.50,59.50,60.00,60.00,300000,
2020-04-03,60.00,60.50,59.50,60.00,60.00,300000,
2020-04-06,60.00,60.50,59.50,60.00,60.00,300000,
2020-04-07,60.00,60.50,59.50,60.00,60.00,300000,
2020-04-08,60.00,60.50,59.50,60.00,60.00,300000,
2020-04-09,60.00,60.50,59.50,60.00,60.00,300000,
2020-04-10,60.00,60.50,59.50,60.00,60.00,300000,
2020-04-13,60.00,60.50,59.50,60.00,60.00,300000,
2020-04-14,60.00,60.50,59.50,60.00,60.00,300000,
2020-04-15,60.00,60.50,59.50,60.00,60.00,300000,
