date,open,high,low,close,adjusted_close,volume,active_through
2020-01-02,10.00,10.20,9.80,10.00,10.00,200000,
2020-01-03,10.00,10.20,9.80,10.00,10.00,200000,
2020-01-06,10.00,10.20,9.80,10.00,10.00,200000,
2020-01-07,10.00,10.20,9.80,10.00,10.00,200000,
2020-01-08,10.00,10.20,9.80,10.00,10.00,200000,
2020-01-09,10.00,10.20,9.80,10.00,10.00,200000,
2020-01-10,10.00,10.20,9.80,10.00,10.00,200000,
2020-01-13,10.00,10.20,9.80,10.00,10.00,200000,
2020-01-14,10.00,10.20,9.80,10.00,10.00,200000,
2020-01-15,10.00,10.20,9.80,10.00,10.00,200000,
2020-01-16,10.00,10.20,9.80,10.00,10.00,200000,
2020-01-17,10.00,10.20,9.80,10.00,10.00,200000,
2020-01-20,10.00,10.20,9.80,10.00,10.00,200000,
2020-01-21,10.00,10.20,9.80,10.00,10.00,200000,
2020-01-22,10.00,10.20,9.80,10.00,10.00,200000,
2020-01-23,10.00,10.20,9.80,10.00,10.00,200000,
2020-01-24,10.00,10.20,9.80,10.00,10.00,200000,
2020-01-27,10.00,10.20,9.80,10.00,10.00,200000,
2020-01-28,10.00,10.20,9.80,10.00,10.00,200000,
2020-01-29,10.00,10.20,9.80,10.00,10.00,200000,
2020-01-30,10.00,10.20,9.80,10.00,10.00,200000,
2020-01-31,10.00,10.20,9.80,10.00,10.00,200000,
2020-02-03,10.00,10.20,9.80,10.00,10.00,200000,
2020-02-04,10.00,10.20,9.80,10.00,10.00,200000,
2020-02-05,10.00,10.20,9.80,10.00,10.00,200000,
2020-02-06,10.00,10.20,9.80,10.00,10.00,200000,
2020-02-07,10.00,10.20,9.80,10.00,10.00,200000,
2020-02-10,10.00,10.20,9.80,10.00,10.00,200000,
2020-02-11,10.00,10.20,9.80,10.00,10.00,200000,
2020-02-12,10.00,10.20,9.80,10.00,10.00,200000,
2020-02-13,0.30,0.31,0.29,0.30,0.30,200000,
2020-02-14,0.30,0.31,0.29,0.30,0.30,200000,
2020-02-17,0.30,0.31,0.29,0.30,0.30,200000,
2020-02-18,0.30,0.31,0.29,0.30,0.30,200000,
2020-02-19,0.30,0.31,0.29,0.30,0.30,200000,
2020-02-20,0.30,0.31,0.29,0.30,0.30,200000,
2020-02-21,0.30,0.31,0.29,0.30,0.30,200000,
2020-02-24,0.30,0.31,0.29,0.30,0.30,200000,
2020-02-25,0.30,0.31,0.29,0.30,0.30,200000,
2020-02-26,0.30,0.31,0.29,0.30,0.30,200000,
2020-02-27,0.30,0.31,0.29,0.30,0.30,200000,
2020-02-28,0.30,0.31,0.29,0.30,0.30,200000,
2020-03-02,0.30,0.31,0.29,0.30,0.30,200000,
2020-03-03,0.30,0.31,0.29,0.30,0.30,200000,
2020-03-04,0.30,0.31,0.29,0.30,0.30,200000,
2020-03-05,0.30,0.31,0.29,0.30,0.30,200000,
2020-03-06,0.30,0.31,0.29,0.30,0.30,200000,
2020-03-09,0.30,0.31,0.29,0.30,0.30,200000,
2020-03-10,0.30,0.31,0.29,0.30,0.30,200000,
2020-03-11,0.30,0.31,0.29,0.30,0.30,200000,
