date,open,high,low,close,adjusted_close,volume,active_through
2020-01-02,301.00,302.00,300.00,301.00,301.00,1000000,
2020-01-03,302.00,303.00,301.00,302.00,302.00,1000000,
2020-01-06,303.00,304.00,302.00,303.00,303.00,1000000,
2020-01-07,304.00,305.00,303.00,304.00,304.00,1000000,
2020-01-08,305.00,306.00,304.00,305.00,305.00,1000000,
2020-01-09,306.00,307.00,305.00,306.00,306.00,1000000,
2020-01-10,307.00,308.00,306.00,307.00,307.00,1000000,
2020-01-13,308.00,309.00,307.00,308.00,308.00,1000000,
2020-01-14,309.00,310.00,308.00,309.00,309.00,1000000,
2020-01-15,310.00,311.00,309.00,310.00,310.00,1000000,
2020-01-16,311.00,312.00,310.00,311.00,311.00,1000000,
2020-01-17,312.00,313.00,311.00,312.00,312.00,1000000,
2020-01-20,313.00,314.00,312.00,313.00,313.00,1000000,
2020-01-21,314.00,315.00,313.00,314.00,314.00,1000000,
2020-01-22,315.00,316.00,314.00,315.00,315.00,1000000,
2020-01-23,316.00,317.00,315.00,316.00,316.00,1000000,
2020-01-24,317.00,318.00,316.00,317.00,317.00,1000000,
2020-01-27,318.00,319.00,317.00,318.00,318.00,1000000,
2020-01-28,319.00,320.00,318.00,319.00,319.00,1000000,
2020-01-29,320.00,321.00,319.00,320.00,320.00,1000000,
2020-01-30,321.00,322.00,320.00,321.00,321.,1000000,
2020-01-31,322.00,323.00,321.00,322.00,322.00,1000000,
2020-02-03,323.00,324.00,322.00,323.00,323.00,1000000,
2020-02-04,324.00,325.00,323.00,324.00,324.00,1000000,
2020-02-05,325.00,326.00,324.00,325.00,325.00,1000000,
2020-02-06,326.00,327.00,325.00,326.00,326.00,1000000,
2020-02-07,327.00,328.00,326.00,327.00,327.00,1000000,
2020-02-10,328.00,329.00,327.00,328.00,328.00,1000000,
2020-02-11,329.00,330.00,328.00,329.00,329.00,1000000,
2020-02-12,330.00,331.00,329.00,330.00,330.00,1000000,
2020-02-13,331.00,332.00,330.00,331.00,331.00,1000000,
2020-02-14,332.00,333.00,331.00,332.00,332.00,1000000,
2020-02-17,333.00,334.00,332.00,333.00,333.00,1000000,
2020-02-18,334.00,335.00,333.00,334.00,334.00,1000000,
2020-02-19,335.00,336.00,334.00,335.00,335.00,1000000,
2020-02-20,336.00,337.00,335.00,336.00,336.00,1000000,
2020-02-21,337.00,338.00,336.00,337.00,337.00,1000000,
2020-02-24,338.00,339.00,337.00,338.00,338.00,1000000,
2020-02-25,339.00,340.00,338.00,339.00,339.00,1000000,
2020-02-26,340.00,341.00,339.00,340.00,340.00,1000000,
2020-02-27,341.00,342.00,340.00,341.00,341.00,1000000,
2020-02-28,342.00,343.00,341.00,342.00,342.00,1000000,
2020-03-02,343.00,344.00,342.00,343.00,343.00,1000000,
2020-03-03,344.00,345.00,343.00,344.00,344.00,1000000,
2020-03-04,345.00,346.00,344.00,345.00,345.00,1000000,
2020-03-05,346.00,347.00,345.00,346.00,346.00,1000000,
2020-03-06,347.00,348.00,346.00,347.00,347.00,1000000,
2020-03-09,348.00,349.00,347.00,348.00,348.00,1000000,
2020-03-10,349.00,350.00,348.00,349.00,349.00,1000000,
2020-03-11,350.00,351.00,349.00,350.00,350.00,1000000,
2020-03-12,351.00,352.00,350.00,351.00,351.00,1000000,
2020-03-13,352.00,353.00,351.00,352.00,352.00,1000000,
2020-03-16,353.00,354.00,352.00,353.00,353.00,1000000,
2020-03-17,354.00,355.00,353.00,354.00,354.00,1000000,
2020-03-18,355.00,356.00,354.00,355.00,355.00,1000000,
2020-03-19,356.00,357.00,355.00,356.00,356.00,1000000,
2020-03-20,357.00,358.00,356.00,357.00,357.00,1000000,
2020-03-23,358.00,359.00,357.00,358.00,358.00,1000000,
2020-03-24,359.00,360.00,358.00,359.00,359.00,1000000,
2020-03-25,360.00,361.00,359.00,360.00,360.00,1000000,
2020-03-26,361.00,362.00,360.00,361.00,361.00,1000000,
2020-03-27,362.00,363.00,361.00,362.00,362.00,1000000,
2020-03-30,363.00,364.00,362.00,363.00,363.00,1000000,
2020-03-31,364.00,365.00,363.00,364.00,364.00,1000000,
2020-04-01,365.00,366.00,364.00,365.00,365.00,1000000,
2020-04-02,366.00,367.00,365.00,366.00,366.00,1000000,
2020-04-03,367.00,368.00,366.00,367.00,367.00,1000000,
2020-04-06,368.00,369.00,367.00,368.00,368.00,1000000,
2020-04-07,369.00,370.00,368.00,369.00,369.00,1000000,
2020-04-08,370.00,371.00,369.00,370.00,370.00,1000000,
2020-04-09,371.00,372.00,370.00,371.00,371.00,1000000,
2020-04-10,372.00,373.00,371.00,372.00,372.00,1000000,
2020-04-13,373.00,374.00,372.00,373.00,373.00,1000000,
2020-04-14,374.00,375.00,373.00,374.00,374.00,1000000,
2020-04-15,375.00,376.00,374.00,375.00,375.00,1000000,
2020-04-16,376.00,377.00,375.00,376.00,376.00,1000000,
2020-04-17,377.00,378.00,376.00,377.00,377.00,1000000,
2020-04-20,378.00,379.00,377.00,378.00,378.00,1000000,
2020-04-21,379.00,380.00,378.00,379.00,379.00,1000000,
2020-04-22,380.00,381.00,379.00,380.00,380.00,1000000,
2020-04-23,381.00,382.00,380.00,381.00,381.00,1000000,
2020-04-24,382.00,383.00,381.00,382.00,382.00,1000000,
2020-04-27,383.00,384.00,382.00,383.00,383.00,1000000,
2020-04-28,384.00,385.00,383.00,384.00,384.00,1000000,
2020-04-29,385.00,386.00,384.00,385.00,385.00,1000000,
2020-04-30,386.00,387.00,385.00,386.00,386.00,1000000,
2020-05-01,387.00,388.00,386.00,387.00,387.00,1000000,
2020-05-04,388.00,389.00,387.00,388.00,388.00,1000000,
2020-05-05,389.00,390.00,388.00,389.00,389.00,1000000,
2020-05-06,390.00,391.00,389.00,390.00,390.00,1000000,
2020-05-07,391.00,392.00,390.00,391.00,391.00,1000000,
2020-05-08,392.00,393.00,391.00,392.00,392.00,1000000,
2020-05-11,393.00,394.00,392.00,393.00,393.00,1000000,
2020-05-12,394.00,395.00,393.00,394.00,394.00,1000000,
2020-05-13,395.00,396.00,394.00,395.00,395.00,1000000,
2020-05-14,396.00,397.00,395.00,396.00,396.00,1000000,
2020-05-15,397.00,398.00,396.00,397.00,397.00,1000000,
2020-05-18,398.00,399.00,397.00,398.00,398.00,1000000,
2020-05-19,399.00,400.00,398.00,399.00,399.00,1000000,
2020-05-20,400.00,401.00,399.00,400.00,400.00,1000000,
