date,portfolio_value
2020-01-02,100010.00
2020-01-03,100020.00
2020-01-06,100030.00
2020-01-07,100040.00
2020-01-08,100050.00
2020-01-09,100060.00
2020-01-10,100070.00
2020-01-13,100080.00
2020-01-14,100090.00
2020-01-15,100100.00
2020-01-16,100110.00
2020-01-17,100120.00
2020-01-20,100130.00
2020-01-21,100140.00
2020-01-22,100150.00
2020-01-23,100160.00
2020-01-24,100170.00
2020-01-27,100180.00
2020-01-28,100190.00
2020-01-29,100200.00
2020-01-30,100210.00
2020-01-31,100220.00
2020-02-03,100230.00
2020-02-04,100240.00
2020-02-05,100250.00
2020-02-06,100260.00
2020-02-07,100270.00
2020-02-10,100280.00
2020-02-11,100290.00
2020-02-12,100300.00
2020-02-13,100310.00
2020-02-14,100320.00
2020-02-17,100330.00
2020-02-18,100340.00
2020-02-19,100350.00
2020-02-20,100360.00
2020-02-21,100370.00
2020-02-24,100380.00
2020-02-25,100390.00
2020-02-26,100400.00
2020-02-27,100410.00
2020-02-28,100420.00
2020-03-02,100430.00
2020-03-03,100440.00
2020-03-04,100450.00
2020-03-05,100460.00
2020-03-06,100470.00
2020-03-09,100480.00
2020-03-10,100490.00
2020-03-11,100500.00
2020-03-12,100510.00
2020-03-13,100520.00
2020-03-16,100530.00
2020-03-17,100540.00
2020-03-18,100550.00
2020-03-19,100560.00
2020-03-20,100570.00
2020-03-23,100580.00
2020-03-24,100590.00
2020-03-25,100600.00
2020-03-26,100610.00
2020-03-27,100620.00
2020-03-30,100630.00
2020-03-31,100640.00
2020-04-01,100650.00
2020-04-02,100660.00
2020-04-03,100670.00
2020-04-06,100680.00
2020-04-07,100690.00
2020-04-08,100700.00
2020-04-09,100710.00
2020-04-10,100720.00
2020-04-13,100730.00
2020-04-14,100740.00
2020-04-15,100750.00
2020-04-16,100760.00
2020-04-17,100770.00
2020-04-20,100780.00
2020-04-21,100790.00
2020-04-22,100800.00
2020-04-23,100810.00
2020-04-24,100820.00
2020-04-27,100830.00
2020-04-28,100840.00
2020-04-29,100850.00
2020-04-30,100860.00
2020-05-01,100870.00
2020-05-04,100880.00
2020-05-05,100890.00
2020-05-06,100900.00
2020-05-07,100910.00
2020-05-08,100920.00
2020-05-11,100930.00
2020-05-12,100940.00
2020-05-13,100950.00
2020-05-14,100960.00
2020-05-15,100970.00
2020-05-18,100980.00
2020-05-19,100990.00
2020-05-20,101000.00
